rank,price_usd,apliiq_code
1,149.35,mens_Hooded-Puffer-Jacket
2,130.96,mens_Felt-Bomber-Jacket
3,115.99,mens_Mens-Puffer-Vest-Jacket
4,105.95,mens_Canvas-Hooded-Jacket
5,104.83,mens_College-Bomber-Jacket
6,98.62,mens_Canvas-Bomber-Hood-Jacket
7,74.42,mens_MENS-BOMBER-JACKET
8,65.25,mens_Reverse-Weave-Hooded-Sweatshirt
9,63.42,mens_Unisex-Sherpa-Lined-Denim-Jacket
10,56.00,mens_Weave-Tie-Dye-Hoodie
11,55.50,mens_Reverse-Weave-Garment-Dyed-Hoodie
12,52.35,mens_Puffer-Jacket
13,52.35,womens_Womens-Puffer-Jacket
14,50.75,mens_Satin-Baseball-Varsity-Jacket
15,50.15,mens_tri-blend-zip-hoody
16,50.15,mens_Triblend-Full-Zip-Hoodie
17,49.96,mens_Heavy-Zip-Hood
18,49.95,mens_Coach-Jacket
19,48.80,mens_Prevail-Packable-Puffer-Jacket
20,46.30,mens_Made-In-USA-Pullover-Hoodies
21,45.15,mens_Legend-Premium-Heavyweight-Cross-Grain-Hoodie
22,45.15,mens_Premium-Cross-Grain-Heather-Hoodie
23,44.78,mens_Unisex-Collared-Varsity-Jacket
24,44.25,mens_Garment-Dyed-Hooded-Sweatshirt
25,43.95,mens_organic-recycled-pullover-hooded-sweatshirt
26,43.50,mens_Stencil-Zip-Hood
27,43.40,mens_Unisex-Denim-Jacket
28,42.95,womens_Womens-Relax-Faded-Zip-Hood
29,41.77,mens_Mens-Quilted-Flannel-Shirt-Jacket
30,41.30,mens_Organic-French-Terry-Pullover-Hoodie
31,40.80,mens_Prevail-Packable-Puffer-Vest
32,40.70,mens_Garment-Dyed-Sweatshirt
33,40.55,mens_Mens-Puffer-Vest
34,40.55,womens_Womens-Puffer-Vest
35,39.55,mens_Unisex-Bomber-Jacket
36,39.50,mens_Relax-Half-Zip-Hood
37,38.95,mens_Mainstreet-Hooded-Sweatshirt
38,38.65,mens_Water-Resistant-Windbreaker-Coaches-Jacket-Camo
39,38.50,womens_Wo-s-Relax-Half-Zip-Hood
40,38.06,mens_Super-Heavyweight-Pullover-Hooded-Sweatshirt
41,37.82,mens_Forest-Camo-Water-Resistant-Windbreaker
42,37.73,mens_Flannel-Shirt
43,37.40,mens_Unisex-Crewneck-Windbreaker
44,37.36,mens_Heavyweight-Hoodie
45,37.15,youth_Electric-Heather-Fleece-Hooded-Pullover
46,36.94,mens_Unisex-10-oz-Zip-Hoodie
47,36.60,mens_Unisex-Joggers
48,36.50,youth_Youth-Relax-Zip-Hood
49,36.00,mens_Black-Camo-Pullover-Windbreaker
50,36.00,mens_Legend-Premium-Heavyweight-Cross-Grain-Crewneck
51,36.00,mens_Lightweight-Pullover-Windbreaker
52,36.00,mens_Lightweight-Quarter-Zip-Pullover-Windbreaker
53,36.00,mens_Premium-Cross-Grain-Heather-Crewneck
54,35.95,mens_Army-Camo-Heavyweight-Hoodie
55,35.95,mens_Black-Camo-Heavyweight-Hoodie
56,35.95,mens_Camo-Independent-Heavyweight-Hoodie
57,35.95,mens_Duck-Camo-Heavyweight-Hoodie
58,35.95,mens_Forest-Camo-Heavyweight-Hoodie
59,35.95,mens_Houndstooth-Hoodie
60,35.95,mens_Snow-Camo-Heavyweight-Hoodie
61,35.95,mens_Tiger-Camo-Heavyweight-Hoodie
62,35.75,mens_Organic-Recycled-Heather-Pullover-Hoodie
63,35.40,mens_Long-Sleeve-Flannel-Army-And-Black
64,35.40,mens_Long-Sleeve-Flannel-Grey-And-Black
65,35.40,mens_Long-Sleeve-Flannel-Red-And-Black
66,34.50,mens_Independent-Pigment-Dyed-Hoodie
67,34.50,mens_Mens-Varsity-Bomber-Jacket
68,34.20,mens_Mineral-Wash-Fleece-Pants
69,33.65,womens_Sport-Tek-Ladies-Fleece-Zipper
70,33.60,mens_Heavyweight-Fleece-Hoodie
71,33.55,mens_Pigment-Dyed-Fleece-Joggers
72,33.35,mens_Performance-Raglan-Pullover-Sweatshirt
73,33.35,mens_Water-Resistant-Windbreaker-Coaches-Jacket
74,33.35,womens_Womens-Long-Sleeve-Grey-Flannel
75,33.35,womens_Womens-Long-Sleeve-Red-Flannel
76,33.15,mens_Lightweight-Bomber-Jacket
77,33.10,womens_Stretch-1-2-Zip-Hoodie
78,33.05,mens_Vail-Fleece-Hooded-Sweatshirt
79,32.78,mens_Tri-Blend-Fleece-S-S-Hooded-Pullover
